TradeDate,Open,High,Low,Close,Settlement,IntradayOpen,IntradayHigh,IntradayLow,IntradayClose
2015-06-01,350.50,354.25,348.25,352.75,352.25,350.75,354.25,348.25,352.75
2015-06-02,352.00,359.50,351.75,358.50,359,355.00,359.50,354.25,358.50
2015-06-03,359,364,357,359,359,358.00,364.00,357.00,359.00
2015-06-04,358.5,364.5,356.5,363.0,363.5,357.75,364.50,357.00,363.00
2015-06-05,362.75,367.25,359.75,360.75,360.5,360.75,367.25,359.75,360.75
2015-06-08,360.5,366.25,360.5,365.25,365.25,362.50,366.25,362.50,365.25
2015-06-09,364.75,368.5,362.5,365.0,365,362.75,368.50,362.75,365.00
2015-06-10,364.75,366.50,356.75,357.25,357.25,365.25,366.50,356.75,357.25
2015-06-11,357.5,360.0,354.5,356.5,356.5,355.75,360.00,354.50,356.50
2015-06-12,356.00,356.75,352.25,353.25,353,355.25,356.75,352.25,353.25
2015-06-15,353.00,353.25,346.75,348.25,348.25,351.25,351.25,346.75,348.25
2015-06-16,349.0,354.25,347.5,353.5,354,350.50,354.25,347.50,353.50
2015-06-17,353.75,361.25,353.75,359.50,359.25,356.25,361.25,356.25,359.50
2015-06-18,359,361.25,356,358,358,358.00,361.25,357.50,358.00
2015-06-19,357.75,358.00,351.75,353.25,353.25,355.00,355.25,351.75,353.25
2015-06-22,352.75,360.5,350.5,360.5,373.5,354.00,360.50,351.00,360.50
2015-06-23,374.75,382,374,381.25,367.5,374.50,382.00,374.00,381.25
2015-06-24,367.00,371.00,363.25,366.25,380.5,364.00,371.00,364.00,366.25
2015-06-25,380.00,392.75,377.75,392.75,392.25,383.00,392.75,382.50,392.75
2015-06-26,392.25,406.5,391.5,402.0,392.5,403.25,406.50,396.25,402.00
2015-06-29,390.5,399.5,390.5,392.25,402.25,398.00,399.00,390.50,392.25
2015-06-30,402.00,432.25,400.75,431.00,431.5,401.25,432.25,400.75,431.00
2015-07-01,429.25,436.0,421.5,432.75,431.75,426.75,433.75,421.50,432.75
2015-07-02,431.00,439.75,427.75,437.25,416,430.00,439.75,428.75,437.25
2015-07-06,434.75,437.00,425.75,435.00,435,428.50,436.50,427.75,435.00
2015-07-07,428.75,433.5,424.5,433.25,433,427.75,433.50,424.50,433.25
2015-07-08,432.25,438.50,428.25,433.75,434.25,432.25,438.50,432.00,433.75
2015-07-09,434.25,443.50,433.75,438.00,439,437.25,443.50,436.00,438.00
2015-07-10,438.25,449.00,434.25,444.25,445,442.00,449.00,434.25,444.25
2015-07-13,445.0,452.75,441.5,452.25,451.75,443.50,452.75,441.50,452.25
2015-07-14,451.25,454.25,438,438.75,438.75,449.50,449.50,438.00,438.75
2015-07-15,437.75,442.75,432,440.75,440.25,436.75,442.75,432.00,440.75
2015-07-16,441.00,449.25,439.25,439.50,441,447.00,449.25,439.25,439.50
2015-07-17,438.50,440.50,429.25,431.25,431.25,435.25,436.25,429.25,431.25
2015-07-20,428.00,428.50,415.25,416.50,416,422.75,426.00,415.25,416.50
2015-07-21,417.5,421,413,417.5,417.5,414.25,421.00,413.00,417.50
