TradeDate,Open,High,Low,Close,Settlement,IntradayOpen,IntradayHigh,IntradayLow,IntradayClose
2015-06-01,931.0,935.0,921.5,926.5,926,926.75,935.00,921.50,926.50
2015-06-02,926.00,944.50,925.25,940.50,940.75,936.00,944.50,935.50,940.50
2015-06-03,941.5,945.5,931.5,935.25,935.25,937.00,945.50,931.50,935.25
2015-06-04,934.75,948.75,932,946.5,946.5,937.25,948.75,936.50,946.50
2015-06-05,944.50,952.00,935.25,938.25,937.75,943.00,952.00,935.25,938.25
2015-06-08,938.25,951.00,935.25,945.00,944.25,944.25,951.00,940.25,945.00
2015-06-09,946.00,955.00,943.25,950.25,951.5,945.00,955.00,945.00,950.25
2015-06-10,951.5,957.75,944.5,949.25,949.5,956.00,957.75,944.50,949.25
2015-06-11,947.25,953,938,941,940,945.00,949.50,938.00,941.00
2015-06-12,939.00,947.00,933.25,939.75,940,939.75,947.00,937.00,939.75
2015-06-15,940.00,943.75,930.25,938.25,937.75,932.50,943.00,930.25,938.25
2015-06-16,939.00,959.00,938.75,958.50,957.5,943.00,959.00,938.75,958.50
2015-06-17,957.5,972.0,957.5,966.5,969,962.00,972.00,960.25,966.50
2015-06-18,967,981.75,962,977,942.25,964.25,981.75,962.00,977.00
2015-06-19,940.75,944.50,934.25,939.00,939.75,936.75,944.50,934.25,939.00
2015-06-22,939.75,960,938,958.5,959.25,947.25,960.00,944.00,958.50
2015-06-23,959.75,968.00,948.25,960.25,960.75,957.75,964.00,948.25,960.25
2015-06-24,961.25,965.00,952.75,956.00,956,956.25,965.00,954.25,956.00
2015-06-25,955.75,979.75,954,975.75,977.75,965.00,979.75,964.00,975.75
2015-06-26,978.25,1002.00,973.75,984.00,986,997.25,1002.00,982.00,984.00
2015-06-29,982.75,993.75,978.25,981.25,980,987.50,993.75,978.25,981.25
2015-06-30,980.25,1038.00,971.25,1035.25,1037.25,972.75,1038.00,972.75,1035.25
2015-07-01,1034.75,1040,1019,1029,1029.5,1030.00,1034.00,1019.00,1029.00
2015-07-02,1029,1039,1020,1028.25,972.25,1022.00,1039.00,1020.00,1028.25
2015-07-06,1023.25,1024.00,1008.25,1014.25,1014.75,1010.75,1024.00,1009.50,1014.25
2015-07-07,1013.75,1018.5,981,987,985.75,1007.75,1008.75,981.00,987.00
2015-07-08,989.25,999.25,978.75,986.75,988.25,982.00,999.25,981.50,986.75
2015-07-09,988.0,1024.5,987.5,1015.0,1015.75,1004.75,1024.50,1004.75,1015.00
