TradeDate,Open,High,Low,Close,Settlement,IntradayOpen,IntradayHigh,IntradayLow,IntradayClose
2015-06-01,3345,3462,3317,3446,3451,3364,3462,3360,3446
2015-06-02,3450,3494,3410,3413,3417,3445,3494,3410,3413
2015-06-03,3424,3488,3396,3474,3473,3413,3488,3410,3474
2015-06-04,3476,3478,3435,3464,3453,3460,3470,3435,3464
2015-06-05,3450,3529,3436,3474,3478,3444,3529,3441,3474
2015-06-08,3472,3478,3403,3413,3410,3449,3453,3403,3413
2015-06-09,3413,3451,3387,3391,3393,3421,3451,3387,3391
2015-06-10,3401,3425,3356,3389,3387,3413,3425,3356,3389
2015-06-11,3388,3404,3312,3331,3329,3387,3389,3312,3331
2015-06-12,3325,3356,3309,3311,3314,3349,3356,3310,3311
2015-06-15,3303,3309,3247,3277,3269,3281,3308,3247,3277
2015-06-16,3270,3308,3262,3289,3290,3299,3304,3262,3289
2015-06-17,3289,3322,3270,3280,3285,3304,3307,3270,3280
2015-06-18,3280,3285,3221,3234,3225,3258,3274,3221,3234
2015-06-19,3231,3291,3216,3261,3255,3247,3291,3223,3261
2015-06-22,3259,3319,3246,3296,3292,3265,3319,3257,3296
2015-06-23,3304,3314,3267,3286,3282,3270,3298,3267,3286
2015-06-24,3284,3358,3272,3325,3370,3317,3358,3313,3325
2015-06-25,3369,3411,3359,3383,3385,3392,3411,3373,3383
2015-06-26,3385,3426,3358,3363,3365,3420,3426,3358,3363
2015-06-29,3355,3381,3333,3337,3341,3351,3381,3336,3337
2015-06-30,3339,3421,3307,3406,3407,3317,3421,3312,3406
2015-07-01,3414,3414,3338,3340,3349,3391,3392,3338,3340
2015-07-02,3341,3403,3334,3384,3392,3343,3403,3341,3384
2015-07-06,3380,3392,3301,3309,3312,3323,3338,3306,3309
2015-07-07,3305,3333,3172,3179,3180,3279,3286,3172,3179
2015-07-08,3184,3243,3160,3202,3205,3176,3243,3165,3202
2015-07-09,3212,3291,3194,3283,3277,3252,3291,3250,3283
2015-07-10,3278,3324,3272,3287,3285,3306,3324,3272,3287
2015-07-13,3274,3333,3262,3316,3320,3270,3333,3262,3316
2015-07-14,3311,3341,3266,3277,3281,3320,3320,3266,3277
2015-07-15,3269,3300,3192,3197,3202,3259,3260,3192,3197
2015-07-16,3207,3233,3172,3174,3180,3229,3233,3172,3174
2015-07-17,3170,3232,3159,3215,3216,3173,3232,3167,3215
