TradeDate,Open,High,Low,Close,Settlement,IntradayOpen,IntradayHigh,IntradayLow,IntradayClose
2015-06-01,478,495.5,474,494.75,493.75,478.00,495.50,476.50,494.75
2015-06-02,495.25,513.25,493,512.5,512.5,501.00,513.25,493.00,512.50
2015-06-03,513.75,526.25,508.25,509.25,510.75,512.00,526.25,508.50,509.25
2015-06-04,510,524.25,504,522.5,523.75,507.00,524.25,506.50,522.50
2015-06-05,525,534,516,517.25,517,520.00,534.00,516.00,517.25
2015-06-08,517,532.75,516,527.75,528,521.25,532.75,521.25,527.75
2015-06-09,527.5,537.25,524,532.75,532.25,525.00,537.25,525.00,532.75
2015-06-10,533.25,537.5,512.5,512.75,513.5,536.50,536.50,512.50,512.75
2015-06-11,514.0,515.5,502.5,505.25,504.25,508.50,514.75,502.50,505.25
2015-06-12,504.0,510.75,500.5,504.25,503.75,505.50,510.75,503.25,504.25
2015-06-15,503.75,503.75,486,489,489.25,498.00,498.00,486.00,489.00
2015-06-16,489,495,487,488.75,488.75,494.25,494.25,487.00,488.75
2015-06-17,490.75,499.75,489.75,491.50,497,496.00,499.50,490.25,491.50
2015-06-18,497.00,504.25,492.75,493.00,493.25,498.00,504.25,492.75,493.00
2015-06-19,493.00,497.50,488.25,492.75,492.5,493.00,497.50,488.25,492.75
2015-06-22,491.75,508.75,491.25,506.50,506,499.00,508.75,495.25,506.50
2015-06-23,506.5,528.0,506.5,527.75,527,508.25,528.00,507.75,527.75
2015-06-24,527.75,535.25,519.25,523.25,523.25,523.25,535.25,519.25,523.25
2015-06-25,522.75,539.00,518.25,538.50,538,526.00,539.00,525.75,538.50
2015-06-26,538.5,572,536,566.25,568,563.00,572.00,551.75,566.25
2015-06-29,563.00,591.50,562.75,584.00,583.5,578.00,591.50,573.50,584.00
2015-06-30,583.25,617.50,575.75,616.75,615.75,581.75,617.50,575.75,616.75
2015-07-01,614.5,615,576,587,588.5,600.25,602.25,576.00,587.00
2015-07-02,588,601,574,588,613.5,578.50,601.00,574.00,588.00
2015-07-06,584.50,599.75,572.25,595.00,595.5,574.75,599.75,573.00,595.00
2015-07-07,593.00,593.25,578.25,584.25,585.25,586.00,591.00,578.25,584.25
2015-07-08,584.25,588.25,573,578,577.5,575.50,588.25,575.50,578.00
2015-07-09,576.50,586.50,575.25,577.25,578,581.00,586.50,575.25,577.25
2015-07-10,577.0,588.25,568.5,575.0,576,585.00,588.25,568.50,575.00
2015-07-13,574.5,576.75,566.5,575.5,575.75,571.25,576.25,566.50,575.50
2015-07-14,575.00,582.50,569.25,571.00,571,578.75,578.75,569.25,571.00
2015-07-15,569.5,569.75,558.5,567.5,566.75,562.75,568.25,558.50,567.50
2015-07-16,567.5,574.0,561.5,562.5,562.25,571.00,574.00,561.50,562.50
2015-07-17,561.75,561.75,546,554.5,554,556.00,556.50,546.00,554.50
2015-07-20,553.0,553.0,530.5,535.0,532.75,543.50,545.25,530.50,535.00
2015-07-21,533.50,537.75,523.75,524.00,524.75,529.00,537.25,523.75,524.00
2015-07-22,524.00,528.25,515.25,516.25,516.75,517.25,528.25,515.25,516.25
2015-07-23,516.75,527.0,516.5,522.75,521.5,521.50,527.00,516.50,522.75
2015-07-24,520.75,523.75,509.5,512.25,511.75,516.25,517.75,509.50,512.25
2015-07-27,511.00,511.75,501.25,502.25,502.5,506.00,511.75,501.25,502.25
2015-07-28,502.50,512.50,501.75,512.25,510.75,507.75,512.50,501.75,512.25
2015-07-29,512.0,512.5,495.5,495.75,496.25,506.00,506.75,495.50,495.75
2015-07-30,495.75,504.75,493.75,497.25,496.5,502.25,504.75,493.75,497.25
2015-07-31,496.75,503.50,495.75,498.25,499.25,502.25,503.50,497.00,498.25
2015-08-03,497.25,501.75,490.5,500.75,499,493.25,501.75,490.50,500.75
2015-08-04,499.00,506.75,491.25,493.25,493.5,502.50,503.50,491.25,493.25
2015-08-05,494.25,504.5,492,502.5,502,493.00,504.50,493.00,502.50
2015-08-06,502.00,514.00,498.25,507.00,507,508.00,514.00,505.00,507.00
2015-08-07,507.75,514.00,503.75,510.50,510.5,509.00,514.00,503.75,510.50
2015-08-10,512.00,530.00,509.25,523.75,525.5,511.25,530.00,509.25,523.75
2015-08-11,522.5,524.25,504,507,507.25,516.50,517.50,504.00,507.00
2015-08-12,507.25,514.75,484,494,492.25,511.00,514.75,484.00,494.00
2015-08-13,493,504.75,492,503.5,509,496.75,504.75,493.50,503.50
2015-08-14,509.0,517.0,503.5,510.75,511.75,506.00,517.00,504.75,510.75
2015-08-17,509.5,514,503,504.5,504.5,513.75,514.00,503.00,504.50
2015-08-18,503.75,507.25,497,499.75,498.75,502.25,503.75,497.00,499.75
2015-08-19,499.25,502.5,495,499.75,500,498.50,502.50,495.00,499.75
2015-08-20,499.25,512.5,499,509.5,511.25,504.25,512.50,503.75,509.50
2015-08-21,509.25,512,500,504,504,506.50,508.25,500.00,504.00
2015-08-24,502.75,509.25,491.5,509.0,508,493.00,509.25,491.50,509.00
2015-08-25,510.0,516.0,496.5,500.75,499.5,515.00,515.75,496.50,500.75
2015-08-26,503,504.25,493,495.75,494.25,501.25,503.00,493.00,495.75
2015-08-27,495.00,500.25,487.25,489.75,489.75,493.00,498.75,487.25,489.75
2015-08-28,490.00,493.50,482.75,483.75,483.75,489.75,491.50,482.75,483.75
2015-08-31,483.25,486.5,476.5,486.0,485,479.75,486.50,476.50,486.00
2015-09-01,484.50,491.50,482.25,485.00,486.25,485.00,491.50,484.25,485.00
2015-09-02,485.75,490.0,476.5,479.5,479,485.75,485.75,476.50,479.50
2015-09-03,479.50,479.50,464.75,464.75,465.25,474.75,476.00,464.75,464.75
2015-09-04,466,469.75,463,468,,466.50,469.75,463.50,468.00
2015-09-08,468,476.75,468,475.5,475,475.00,476.00,470.25,475.50
2015-09-09,473,481,471,473.25,472.25,478.25,479.75,471.50,473.25
